vessel_id,timestamp,lat,lon,speed_knots,course_deg
V1,2026-01-13T20:32:00Z,19.732319,71.261583,12.40,230.4
V1,2026-01-13T20:47:00Z,19.709533,71.243380,12.51,226.9
V1,2026-01-13T21:02:00Z,19.686911,71.230132,12.32,226.0
V1,2026-01-13T21:17:00Z,19.682453,71.214331,12.10,226.8
V1,2026-01-13T21:32:00Z,19.658699,71.192365,12.43,226.9
V1,2026-01-13T21:47:00Z,19.641039,71.178007,12.76,225.0
V1,2026-01-13T22:02:00Z,19.622118,71.149224,12.17,225.5
V1,2026-01-13T22:17:00Z,19.608696,71.135765,12.44,227.1
V1,2026-01-13T22:32:00Z,19.600453,71.117795,12.69,229.6
V1,2026-01-13T22:47:00Z,19.573898,71.092428,12.46,226.3
V1,2026-01-13T23:02:00Z,19.556103,71.064418,12.55,227.7
V1,2026-01-13T23:17:00Z,19.532212,71.050181,12.65,224.2
V1,2026-01-13T23:32:00Z,19.514996,71.028398,12.92,224.7
V1,2026-01-13T23:47:00Z,19.495389,71.001962,12.13,225.7
V1,2026-01-14T00:02:00Z,19.480633,70.974899,12.27,223.6
V1,2026-01-14T00:17:00Z,19.451143,70.955688,12.87,221.7
V1,2026-01-14T00:32:00Z,19.438198,70.931551,13.12,226.6
V1,2026-01-14T01:22:00Z,19.370943,70.858722,12.34,222.3
V1,2026-01-14T02:12:00Z,19.307014,70.788867,12.58,224.9
V1,2026-01-14T03:02:00Z,19.238927,70.714151,12.65,225.5
V1,2026-01-14T03:52:00Z,19.169366,70.638844,12.56,225.5
V1,2026-01-14T04:42:00Z,19.101347,70.562253,12.34,223.7
V1,2026-01-14T05:32:00Z,19.041206,70.494291,12.62,225.9
V1,2026-01-14T06:22:00Z,18.967015,70.416972,12.78,225.4
V1,2026-01-14T07:12:00Z,18.900987,70.345009,12.52,228.5
V1,2026-01-14T07:32:00Z,18.869897,70.310252,12.84,224.0
V2,2026-01-13T22:02:00Z,19.728342,71.219654,11.24,222.2
V2,2026-01-13T22:17:00Z,19.710177,71.198396,11.54,223.4
V2,2026-01-13T22:32:00Z,19.689687,71.176791,11.07,220.6
V2,2026-01-13T22:47:00Z,19.666342,71.165363,11.32,220.9
V2,2026-01-13T23:02:00Z,19.653540,71.147956,11.74,220.8
V2,2026-01-13T23:17:00Z,19.640968,71.123977,11.58,218.9
V2,2026-01-13T23:32:00Z,19.612509,71.108980,11.11,218.0
V2,2026-01-13T23:47:00Z,19.589717,71.088381,11.31,218.1
V2,2026-01-14T00:02:00Z,19.571878,71.063999,11.72,222.0
V2,2026-01-14T00:17:00Z,19.547867,71.055684,11.37,220.4
V2,2026-01-14T00:32:00Z,19.524684,71.032963,11.38,219.4
V2,2026-01-14T00:47:00Z,19.504951,71.013006,11.49,218.5
V2,2026-01-14T01:02:00Z,19.495886,70.992672,12.06,218.2
V2,2026-01-14T01:52:00Z,19.416966,70.929319,11.39,215.6
V2,2026-01-14T02:42:00Z,19.343093,70.866573,11.87,218.0
V2,2026-01-14T03:32:00Z,19.279882,70.808922,11.60,219.2
V2,2026-01-14T04:22:00Z,19.208371,70.743529,11.66,222.2
V2,2026-01-14T05:12:00Z,19.132375,70.674360,11.25,220.4
V2,2026-01-14T06:02:00Z,19.063832,70.621621,11.21,218.5
V2,2026-01-14T06:52:00Z,18.997392,70.544432,11.51,218.9
